QUESTION,BT LEVEL
"""Assume that there is one dominant firm in the industry that sets the price and then all the other firms in the industry behave like perfectly competitive price­ taking firms"". By using appropriate diagrams, explain the underlying assumptions of the model stated in the statement.",Understanding
Explain the marginal cost relationship with average variable cost (AVC) and average total cost (ATC). Support your answer by using an appropriate diagram. ,Understanding
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",Applying
"Starting from a point of equilibrium, explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagram(s). ",Understanding
List THREE (3) characteristics of monopolistic competition and explain how do firms in this market structure compete.,Understanding
Describe diminishing of marginal product and explain the relationship between average product and marginal product by using an appropriate diagram. ,Understanding
"""Economists state that both allocative and productive efficiencies are realized in the long-run equilibrium of a monopolistically competitive market"". State whether you agree or disagree with the statement. Graphically illustrate and explain the statement. ",Analyzing
Determine the equilibrium price and quantity.,Applying
Determine the amount of shortage or surplus if government decides to impose the price at RM1.50/kg. Support your answer with numerical explanations. ,Applying
"Suppose milk and yogurt are within Sophie's budget and she views yogurt as an inferior good. Using indifference curve and budget line, explain the substitution, income and total effects when the price of yogurt falls. ",Applying
Explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,Understanding
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",Evaluating
Describe the TWO (2) key differences between perfect competition and monopolistic competition. ,Understanding
The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,Applying
"“As additional units of a variable input are added to a fixed input, the marginal product of the variable input may at the beginning rises, subsequently falls and becomes negative in the short-run"". Explain this statement by using appropriate diagrams. ",Understanding
"A manager of a small company makes the following statement - ""We need to keep hiring additional workers up to the point where the marginal productivity of the last worker we hire is at its maximum. This way we can maximize the total productivity of the firm.""  Critically evaluate this statement. ",Evaluating
"Draw a graph showing the demand curve faced by a perfectly competitive firm. On the same graph, draw the demand curve faced by a monopolistically competitive firm. Explain your reasoning for each curve. ",Understanding
Explain the price discriminations that associated with monopoly.,Understanding
"Suppose firms in industry Y are having an increase in demand. By using appropriate diagrams, explain the effect of an increase in demand and how industry Y achieves the long-run equilibrium in perfect competition. ",Analyzing
Sketch a graph that associates with a monopoly. Find the profit-maximizing level of output and label it as q*. Find the price that firm should charge and label it as P*. Explain how the profit-maximizing output and price the firm should charge are determined. Explain what the firm should do if marginal revenue is higher than marginal cost. ,Analyzing
 List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,Understanding
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and South Africa.,Understanding
Compute the value of the government multiplier and tax multiplier in an open economy. ,Applying
"Using the multiplier approach, suppose government increases spending to 2200 and decreases tax by 500, calculate the new equilibrium output level and the new balance of trade.",Applying
Suppose that Japan and South Korea are trading partners. The exchange rate of Yen for South Korean Won (KRW) is floating freely. Japanese had reduced their imports from South Korea due to lack of demand for Korean products. Explain what will happen to Yen by using an appropriate diagram. Give five reasons why demand for a foreign currency may increase. ,Analyzing
Determine which country enjoys comparative advantage in the production of cotton and silk respectively. Support your answer by calculating the opportunity costs of each. ,Applying
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,Understanding
"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",Applying
Explain  the effect of a cut in taxes of $100 billion on the economy if the marginal propensity to consume were 0.9. Explain why this policy is much different from simply having the government initiate a $100 billion spending program. Support your answer with specific calculations. ,Analyzing
Explain why a sustained inflation is a purely monetary phenomenon and cannot exist without the cooperation of the Bank Negara Malaysia (BNM). ,Understanding
Explain why the effectiveness of an expansionary monetary policy in increasing aggregate output is partially dependent on the interest sensitivity of the demand for money. ,Analyzing
Calculate the equilibrium level of income for Cambodia. ,Applying
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,Applying
Calculate the level of output needed to be achieved by Cambodia in order to maintain a balanced trade account.,Applying
Determine the values of Cambodia's government spending multiplier in closed and open economy. Explain which multiplier has the greater impact on the Cambodia economy. ,Applying
Malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the Ringgit Malaysia. Discuss the impact of this policy by using an appropriate diagram. ,Understanding
List and explain the FIVE (5) institutional structures that can promote and sustained economic growth. ,Understanding
"Assume that Saudi Arabia is currently operating at the natural level of output. However, due to the political uncertainty it leads to an increase in oil price. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Saudi Arabia by using appropriate diagrams. Besides, suggest the policy that can be implemented by Saudi Arabia in order to achieve long run equilibrium after the event. ",Creating
Assume that Japan is currently operating at the natural level of output. Investor is optimistic about the future due to the outstanding performance in the stock market. Explain the effect of event to the price level and output level in the short run and long run in Japan by using an appropriate diagram.,Understanding
List and explain the reason why the aggregate demand curve is downward slopping.,Understanding
"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",Creating
Money growth is always interrelated with inflation phenomenon. Explain how the growth of money will affect the economy when the economy is operating at the full capacity. Illustrate by using an appropriate diagram.,Analyzing
Describe price feedback effect by using relevant example.,Understanding
Identify which country has an absolute advantage in the production of sugar cane and blue agave.,Remembering
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of sugar cane and blue agave. ,Applying
"Draw Production Possibilities Frontier and Trading Possibilities Frontier for Argentina and Mexico.
",Understanding
In order to reduce the international competition to protect some major sector of the economy. List and explain THREE (3) instruments that can use to protect our domestic industries. ,Understanding
"Output and capital are increasing more rapidly than labour in the pharmaceutical industry. However, labour is increasing faster than capital and output in the agriculture industry. Evaluate the different in the output growth and productivity between these two industries.",Evaluating
Thailand currently experiences a 17% unemployment rate and the investors in the country are sensitive towards changes in the interest rate. Explain to your friend the policy to be taken by Central Bank of Thailand to achieve 3% of unemployment rate by using appropriate diagram(s). ,Understanding
"Japan is operating above the potential output level. As a committee member of central bank, suggest a policy that should be implemented in order to restore Japan's potential output level. Using appropriate diagram(s), explain the effect of the policy on price and unemployment level in short run and long run. ",Creating
Identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth. ,Understanding
Draw Production Possibilities Frontier and Trading Possibilities Frontier for Korea and Indonesia. ,Understanding
Explain THREE (3) reasons why AD curve is downward sloping.,Understanding
Calculate the equilibrium level of output for four sectors economy with taxes. ,Applying
Calculate the balance of trade when the economy is at equilibrium. ,Applying
"Using the open economy multiplier approach, calculate the new equilibrium output level and new balance of trade if the government decreases spending to RM 1200 million and increases tax by RM 300 million. ",Applying
Describe the economic growth and FOUR (4) sources of economic growth. ,Remembering
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,Applying
Calculate the equilibrium level of income for this economy. ,Applying
Calculate the balance of trade when the economy is at equilibrium and interpret the answer. ,Applying
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,Applying
Determine the values of government multiplier and tax multiplier in open economy for Japan. Explain which multiplier has greater impact on the economy. ,Applying
"Assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. Explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",Understanding
Define economic growth. List and explain how the public policies can promote economic growth. ,Understanding
"The Malaysian economy is currently operating at the natural level of output. In order to be a high-income country in 2020, government of Malaysia decides to increase the government spending. Discuss the effects of the event on the price level, unemployment and output in the long run and short run in Malaysia with appropriate diagrams.",Understanding
"Explain how currency depreciation will affect export, import and the balance of trade of the country. ",Analyzing
Explain how human capital can lead to economic growth. ,Understanding
Define terms of trade and identify which country has an absolute advantage in the production of jade and diamond. ,Understanding
Suppose the two countries wish to specialize and trade. Specifically determine and explain which country enjoys comparative advantage in the production of jade and diamond. ,Applying
Corporate bond is a debt contract (indenture) that requires borrowers to make periodic payment of interest and repayment of principal at the end of maturity date. Explain the type of market for corporate bond. ,Understanding
Discuss FOUR (4) factors affecting exchange rate in the long run.,Understanding
Define Bank Capital and elaborate the functions of Bank Capital.,Understanding
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",Applying
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer. ,Remembering
Define and explain the THREE (3) steps of bringing a new security issue in primary market. ,Understanding
List FIVE (5) differences between forward and future market. ,Remembering
List and briefly describe FOUR (4) types of secondary equity markets. ,Remembering
Explain FOUR (4) factors in the Globalization of Financial Markets. ,Understanding
Describe the TWO (2) conditions that lead to bank failures. Provide the examples of bank failures that happened in the past with a specific time frame. ,Understanding
Letter of credit is a written promises to pay third party on clients behalf. Explain the functions of commercial letter of credit and standby letter of credit. ,Understanding
Give THREE (3) examples of common uses of standby letter of credit. ,Understanding
Define solvency and liquidity. Give some simple strategies that banks can follow to avoid insolvency or illiquidity. State reasons banks might option not to adopt these strategies. ,Understanding
List FIVE (5) major business activities of investment banks. ,Remembering
"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",Remembering
Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,Analyzing
Discuss the actions of central bank towards monetary policy that will significantly influence Federal Funds Rate in short run. ,Understanding
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",Applying
"Based on your Remembering, describe TWO (2) foreign bonds that are well known in the market. ",Remembering
Analyze THREE (3) factors that can affect the option premium. ,Analyzing
Briefly explain THREE (3) main sources of banks earnings.,Understanding
Describe THREE (3) deposit liabilities for commercial banks. ,Remembering
"New issues are called primary issues, that reflect to the first issued of security in the primary market. Elaborate the steps of bringing a new security to the market. ",Understanding
The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,Remembering
Briefly explain what a Repo is. ,Understanding
Elaborate THREE (3) channels of the transmission process for monetary policy. ,Understanding
Illustrate the effect of an expansionary monetary policy. Justify your answer with an appropriate diagram. ,Evaluating
Define federal fund market. Explain in detail its importance to a bank. ,Understanding
Explain FOUR (4) types of unemployment.,Understanding
"Compute the duration for a five-year bond, RM1,000 par value bond with a 7 percent annual coupon which is trading at yield to maturity of 5 percent. ",Applying
Identify THREE (3) types of securities that are issued by Malaysian government. Explain each in detail. ,Understanding
Discuss FOUR (4) economic roles of money market. ,Understanding
The Glass-Steagall Act of 1933 and the Financial Services Modernization Act of 1999 created impact on commercial banks and investment banks in the US. Explain each act in detail. ,Understanding
Explain FOUR (4) off-balance-sheet banking activities which are important but not recorded in a bank's balance sheet. ,Understanding
"If the value of the bond is RM900 and coupon are paid semi-annually, compute the yield to maturity (YTM) and the current yield of the bond. Interpret your answers. ",Applying
Explain the relationship between bond price and market interest rate using the bond pricing formula. ,Understanding
"Differentiate bonds that are traded at par, premium and discount.",Analyzing
Illustrate by using appropriate diagram(s) the effects of the most commonly and the least used monetary policy tool on the market interest rate if the central bank implements the expansionary monetary policy.,Understanding
Vince longs a put option on Junebank's stock with a strike price at RM13. Currently Junebank's stock is priced at RM15 and the option premium is RM1.50. Advise Vince whether or not to exercise the option. Justify your answer. ,Evaluating
"""The monetary policy is always useful in stimulating the economic growth by increasing the money supply in the market."" Comment on this statement. Support your answer with an appropriate diagram. ",Evaluating
“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice. ,Analyzing
Explain the Securities Act of 1933 and the Securities Exchange Act of 1934. ,Understanding
Differentiate between commercial letter of credit and standby letter of credit. ,Analyzing
Draw an expiry profit diagram for the GCB bank’s position. ,Understanding
Explain the profit and loss for Alice and GCB bank. ,Understanding
Elaborate FIVE (5) factors that will influence the demand and supply of a currency. ,Understanding
"By using an appropriate diagram, explain how the open market operation (OMO) can put an upward pressure on the federal fund rate (FFR).",Understanding
Banks act as an important institution in the financial system. Briefly explain what a bank run is and provide THREE (3) causes that lead to its occurrence. ,Understanding
Explain what a junk bond is and its role in the financial market. ,Understanding
Suggest and explain TWO (2) ways to measure a bank's profitability. ,Creating
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram. ",Evaluating
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,Analyzing
“The US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.” The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario. ,Analyzing
Explain Eurocurrency and its market. ,Understanding
Stock market serves as an important predictor of economic activities. Explain how the stock market values can predict real economic activity. ,Understanding
Explain the differences between forward and futures contract. ,Understanding
Discuss ONE (1) limitation and benefit of duration. ,Understanding
"Justify the following statement: “The value of a putable bond is never greater than the value of an otherwise comparable option-free bond.""",Evaluating
"Define and discuss the Sharpe, Treynor, and Jensen measures of portfolio performance Evaluating by identifying the situations in which each measure is the most appropriate measure. ",Applying
Briefly explain FOUR (4) advantages and disadvantages of option trading. ,Understanding
"The correlation between the S&P 500 index fund and the emerging market fund is zero. Consider portfolio A, which consists of 80% of the S&P index fund and 20% of the emerging-market fund. Calculate portfolio A's expected return and standard deviation. ",Applying
Explain FOUR (4) benefits of mutual fund investment. ,Understanding
Discuss the implications of Efficient Market Hypothesis for Technician (Chartist) and Fundamentalist. ,Understanding
Consider a zero coupon bond with a par value of $1000 that has a current price of $436.19 and matures in 10 years. Compute its yield to maturity. ,Applying
"Calculate Sharpe's measure for the AOV Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Applying
"Calculate Treynor's measure for AOV's Portfolio and the market. Compare the TWO (2) measures, and assess the performance of the AOV's portfolio during the year just ended. ",Applying
Calculate Jensen's measure (Jensen's alpha). Use it to assess the performance of the AOV's Portfolio during the year just ended. ,Applying
Describe characteristics and importance of secondary market.,Understanding
"""Portfolio management strategies are different based on investor's risk preferences and expected return”. Based on above statement, briefly discuss TWO (2) major portfolio management strategies. ",Understanding
Distinguish between stock dividend and stock split by providing one relevant example. ,Analyzing
The option's premium represents the price of the option that change over time. Discuss FOUR (4) factors that affecting premium of an option.,Understanding
"""Trading strategies used by investors of futures and forwards markets help to maintain market efficiency"". Based on the above statement, Differentiate between all THREE (3) main trading strategy used by futures and forward markets' investors.. ",Analyzing
Define put-call parity. Discuss its implications and how arbitrageurs could take advantage of arbitrage opportunities for both options. ,Understanding
Identify and elaborate FOUR (4) determinants of an option's premium.,Understanding
Discuss THREE (3) differences between futures and forward contracts.,Understanding
"Market anomalies are research findings that do not support market efficiency hypothesis; that is, they are evidence that inefficiencies do exist. Discuss FIVE (5) common market anomalies. ",Understanding
"“The efficient market hypothesis (EMH) states it is impossible to consistently outperform an efficient market and the only way an investor can possibly obtain higher returns is by purchasing riskier investments."" Justify the statement. ",Evaluating
Discuss TWO (2) key differences between stock warrants and stock options. ,Understanding
"Explain the trading behavior of hedger, speculator and arbitrageur.",Understanding
Determine the intrinsic value of KMK Corporation's common stock. ,Applying
"Suggest your recommendation on the investment of KMK Corporation's common stock, if the stock price is traded at $25 currently. ",Creating
Explain why contango and backwardation happen in the commodity market. ,Understanding
A bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. Briefly explain THREE (3) specific risks related to investing in international bond market. ,Understanding
Determine the Macaulay duration and estimate the bond price if the yield increases by 100 basis points. ,Applying
Daniel Kahneman and Amos Tversky believe that many stock investors are far from fully rational. Explain FOUR (4) common factors that create irrational market behavior. ,Understanding
Discuss the potential profit and loss for the long straddle. ,Understanding
"""Instead of focusing only on investing in local market, some investors also invest in foreign market"". Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluating
"""Portfolio management strategies are different based on the investor's risk preferences and expected return"". Based on above statement, explain TWO (2) major portfolio management strategies. ",Understanding
Distinguish between stock dividend and stock split by providing one relevant example. ,Analyzing
"Discuss in detail the Sharpe, Treynor, and Jensen measures of portfolio performance Evaluating, by identifying the situations in which each measure is the most appropriate measure. ",Applying
"""Investment strategies used by the investors of futures and forward markets help to maintain market efficiency"". Based on the above statement, differentiate THREE (3) main investment strategies used by futures and forward markets' investors. ",Analyzing
Provide arguments on how these investment strategies help in maintaining market efficiency. ,Understanding
Describe characteristics and importance of secondary market. ,Understanding
Discuss FOUR (4) reasons why Capital Asset Pricing Model (CAPM) is not the best model to estimate returns. ,Understanding
"“Instead of focusing only on investing in local market, some investors also invest in foreign market”.  Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluating
Discuss in detail the THREE (3) major asset allocation strategies in managing portfolio. ,Understanding
"According to many researchers, market inefficiencies do exist in most of the stock markets in the world and also known as market anomalies. This situation is contradicted to market efficiency hypothesis. Describe SIX (6) market inefficiencies that commonly happen in the stock markets. ",Understanding
Discuss FOUR (4) risks involved in trading US-dollar denominated crude palm oil futures contract (FUPO). ,Understanding
Define and explain reinvestment risk with an example. ,Understanding
Define Put-Call Parity and express it in equation. ,Understanding
Audit committee is responsible to implement and support the monitoring function of the board of directors. Develop a list of best practices for audit committee meeting. ,Creating
Nomination committee plays a crucial role in ensuring the continuity of the board of directors into the future. Analyse the functions of nomination committee in the context of corporate governance. ,Analyzing
Majority shareholders may be opportunistic at the expense of minority  shareholders due to their controlling stake in the company. Explain majority agency problem in the context of corporate governance. ,Understanding
Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,Evaluating
There are several corporate governance tools available for institutional shareholders activism. Differentiate shareholder resolution and proxy voting,Analyzing
Malaysian Code on Corporate Governance (2012) stipulates that there should  not be any domination of power by any individual in the board. Responsibilities of the CEO and the Chairperson must be clearly defined and separated in order to ensure a balance of power and authority. Evaluate the advantages and disadvantages of CEO duality.,Evaluating
"Company directors remain the most important group of people who monitor 
and control the company on behalf of the shareholders. Explain the SIX (6) roles of company directors.",Understanding
Independent Non-Executive Directors (INEDs) play crucial roles in the  assurance of effective corporate governance of public listed companies. Provide an assessment on the contributions of INEDs in promoting effective corporate governance. ,Understanding
"Being outside directors, Independent Non-Executive Directors (INEDs) do not work in the company on a daily basis. Their hands are tied due to the nature of their positions. Provide an assessment on the limitations of INEDs in the context of corporate governance ",Understanding
"Internal control system is among the most prominent monitoring mechanisms in promoting effective corporate governance. Assuming you are the manager of purchasing department, provide TWELVE (12) recommendations on how to prevent staffs from making personal gains from their positions.",Creating
"One of the biggest challenges in corporate governance is to deal with manipulation of accounting profits. Propose NINE (9) suggestions to the Malaysian regulatory bodies on how to prevent manipulation of accounts. Your recommendations have to be new and must not overlap with the existing Malaysian laws, guidelines and systems. ",Creating
"Company director can be removed by the shareholders during general meetings. However, the office of a director can become vacant under certain circumstances. Discuss FOUR (4) criteria for vacation of office.",Understanding
"Director independence is a pivotal element of corporate governance. Illustrate the requirements of ""Persons Connected with Directors"" as stipulated under Companies Act 2016 Section 197(1). ",Understanding
"Related party transaction is a transaction entered into by a PLC or its subsidiaries, which involved the interest of the related party. Justify the reasons for disclosure of related party transaction. ",Evaluating
Short term and long term incentives have their own merits in promoting corporate performance. Compare and contrast the problems associated with both short term and long term incentives. ,Analyzing
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,Analyzing
Companies must take reasonable steps to ensure that their investors enjoy equal access to material information. Briefly describe SIX (6) corporate disclosure policies under Main Market Listing Requirements (MMLR). ,Remembering
The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance. ,Analyzing
The independence of external auditors is extremely critical due to their roles in providing true and fair view on a company financial position. Develop THREE (3) safeguards to reduce the threats on external auditors' independence. ,Creating
Managing and engaging stakeholders have gained important grounds in corporate decision making. Provide your justifications for companies to adopt stakeholder model. ,Understanding
There is always an appeal for institutional shareholders to assume an active role in corporate governance. Create a list of key recommendations for institutional shareholders activism based on Myners Report (1995).,Creating
Malaysian Code on Corporate Governance (MCCG 2017) encourages Board of Directors to improve shareholders' participations in decision making. Provide recommendations that will lead to more constructive use of Annual General Meeting (AGM). ,Creating
Institutional shareholders do not always fare better than the minority shareholders in promoting shareholder activism. Assess the impediments of institutional shareholder activism. ,Evaluating
Criticize the issues in Principal – Agent Theory.,Analyzing
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,Understanding
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",Remembering
State 'corporate governance' definition as mentioned in Cadbury Report (1992). Explain Malaysian Code on Corporate Governance (MCCG) 2017 “corporate governance' definition in details. ,Understanding
Suggest FIVE (5) actions that Public Mutual Berhad (PMB) can consider in championing the institutional shareholder activism. ,Creating
Explain the criteria to be a substantial shareholder in Malaysia. Illustrate what and when a substantial shareholder of a listed company need to comply when he/she holds the directorship in it. ,Evaluating
Highlight the important issues discussed in Greenbury Report 1995. ,Understanding
Evaluate the characteristics of the board in a two-tier board structure. ,Evaluating
Identify FIVE (5) conditions that one needs to meet in order to be an independent director in Malaysian public listed company (PLC).,Remembering
Discuss the components that are integral to the internal control framework in a public listed company. ,Understanding
Construct an executive remuneration package using the remuneration framework as a guide. ,Applying
Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,Evaluating
"The internet has been considered as a low cost option for selling products and services. From a firm's perspective, explain FOUR (4) factors that add to the cost of doing business on the internet. ",Understanding
“Firms can use existing brand names or create new brands on the internet”. Evaluate on the above statement. ,Evaluating
"Discuss the level of trust consumers place in digital media, and how that trust helps or hinders e-marketers. ",Understanding
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",Evaluating
"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM). ",Creating
"Discuss the adoption issues surrounding Facebook and internet, as well as their implications for e-marketers. ",Understanding
Define social commerce and discuss its advantages for e-marketers.,Understanding
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer. ,Understanding
"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement. ",Evaluating
"Media planners want both effective and efficient media buys. In your role as a new media planner of a digital marketing agency, explain how would you know you have made an effective advertising buy over the internet. ",Understanding
The internet increases customer benefits in many ways that have revolutionised marketing practices. Discuss with examples THREE (3) ways in which internet increases customer benefits from products offered online.,Understanding
"CRM technology helps companies to collect information about consumer behaviour, conversations and characteristics. As a new digital marketing manager with an online retailer, suggest FIVE (5) ways how you can collect data and push customised information to customers. ",Creating
Market research firms and product review sites are examples of infomediary. Discuss the role and benefits of an infomediary model in the online distribution system. ,Understanding
E-mail marketing has evolved rapidly alongside the technological growth of the 21st century. Discuss FIVE (5) reasons why e-mail marketing is still a growth area in digital marketing. ,Understanding
The 'creators' and critics' are the most desired social segments. Explain how social media marketers are able to increase these segments' level of involvement in the social media. ,Understanding
The internet is ideal for gathering people from all corners of the globe into communities with similar interests and tasks. Recommend THREE (3) ways that can be used to target online communities. ,Creating
An important step in Search Engine Optimization (SEO) is to identify relevant keywords for your website. Suggest THREE (3) offline keyword research methods and TWO (2) online keyword research methods in your keyword research efforts. ,Creating
"Assume that you have been assigned to run a Google Ads search advertising campaign for a new café in Kampar, Perak. Recommend FIVE (5) strategies to develop a successful search advertising campaign for the café.",Creating
Standard ad formats such as leaderboard and skyscraper are common in digital display advertising. Propose FIVE (5) other creative ad formats which are more interactive and engaging. ,Creating
You have been assigned by your employer to manage their Instagram and Facebook business page. Suggest FIVE (5) ways to increase engagement with your social media users. ,Creating
E-mail newsletters are still popular communication strategy for digital marketers. Suggest FIVE (5) ways to engage with your newsletters subscribers. ,Creating
Describe the THREE (3) roles for social media in branding.,Remembering
"Using Tom Duncan's levels of brand relationship intensity, explain the relationship between Apple iPhone and its customers.",Understanding
You are the new online advertising consultant for Loreal Malaysia. Explain to your client SEVEN (7) important paid media metrics in online advertising.,Understanding
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,Understanding
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,Analyzing
"With respect to the data processing cycle of an organisation, explain the ""garbage in, garbage out"". Briefly discuss on the measures to be taken by the companies to avoid “garbage in"" data input errors. ",Understanding
Name and briefly discuss the EIGHT (8) documents used in the purchase and cash disbursement process of a company. ,Understanding
Briefly explain any TWO (2) advantages of real time data processing in the sales and cash receipt system. ,Understanding
Describe the THREE (3) elements of problem structure of a company. Contrast a structured problem to an unstructured problem. Discuss briefly which levels of management typically deal with structured problems and with unstructured problems. ,Analyzing
Briefly discuss the key segregation of duties that should exist in the traditional manufacturing environment. ,Understanding
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",Analyzing
Briefly explain the SIX (6) key activities involved in the conversion cycle of a manufacturing company. ,Understanding
Differentiate between general controls and Applying controls. Provide ONE (1) example for each. ,Analyzing
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,Understanding
Cost benefit Analyzing is a process that helps management determine whether (and by how much) the benefits exceed costs. Briefly explain FOUR (4) intangible benefits. ,Understanding
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,Understanding
Define Information Systems (IS). ,Remembering
Discuss in details what Accounting Information Systems (AIS) is. ,Understanding
State TWO (2) subsystems of AIS. ,Remembering
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,Understanding
